name,category,code
succo arancia,"acqua, bibite e succhi | succhi",01.2.1.0
"milsani h-milch 1,5 % fett 1 l",milchprodukte,01.1.4.3
tails gin gimlet cocktail 500 ml,"acqua, bevande, alcolici | liquori",02.1.9.0
coca cola zero can,soft drinks,01.2.6.0
master gioia + burro,spreads,01.1.5.2
ktc pure sesame seed oil 250ml,food cupboard groceries | cooking ingredients | oil & vinegar,01.1.5.1
carapelli il nobile olio extra vergine di oliva 1 lt,olio e conserve | olio,01.1.5.1
three barrels brandy 70cl,beverages | spirits,02.1.1.0
"apice aperitivo italiano 0,7 l",spirituosen,02.1.9.0
odyssey rose 75cl,wine cellar | wine  ,02.1.2.1
bottega chardonnay venezie igt 2017 75cl,drinks | wine | white wine,02.1.2.1
mayor tomato salsa pronta 200 grms,tins cans & packets,01.1.9.3
magners irish cider original,cider,02.1.2.2
"lurisia aranciata 1,1 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.1.0
pukka organic turmeric tea 20pcs.,tea,01.2.3.0
lurpak spreadable unsalted 56c off,spreads,01.1.5.2
allara genova l'amaro della superba 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0
sainsbury's nas ginger beer 2ltr,drinks | beers & ciders | beers & lagers,02.1.3.0
nocino 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0
vitago apple drink,juices,01.2.1.0
medina grenache cabernet rose,wine,02.1.2.1
"akropolis griechischer weinbrand 0,7 l",spirituosen,02.1.1.0
teekanne bio sleep & dream x20,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0
borbone miniciock comp a modo mio 16 cap,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0
"sanpellegrino aranciata 1,25 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
"primia cortado caffe macchiato 100,8 gr","zucchero, caffe', te', infusi | caffe'",01.1.4.7
evian mineral water glass bottle,water,01.2.5.0
ma ne noir  premium pinot noir,wine,02.1.2.1
costasera amarone classico docg,"vini, birra e liquori | vini",02.1.2.1
don simon selection white wine 3ltrs,wine cellar | wine  ,02.1.2.1
amaroy express kaffee gold 100g,kaffee,01.2.2.0
carrefour artichokes whole in olive oil 210 grms,tins cans & packets,01.1.7.9
belte peach ice tea 500ml,beverages | juices & ice-teas,01.2.3.0
gran sud syrah 1ltr,wine,02.1.2.1
"vodka wiborowa premium quality 37,5deg 70cl",gin & vodka,02.1.1.0
valfrutta frullato proteico mango pesca mandorla 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0
crodino aperitivo analcolico 1 lt,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
birra intense red,"vini, birra e liquori | birra",02.1.2.1
bourgogne chardonnay la foret,"vini, birra e liquori | vini",02.1.2.1
spark cola diet,soft drinks,01.2.6.0
mutti baby roma tomatoes 400 grms,tins cans & packets,01.1.9.3
tetley the blend collection extra strong teabags 75 pcs.,tea,01.2.3.0
morellino di scansano docg,"vini, birra e liquori | vini",02.1.2.1
le coq blue lagoon taste 330 ml,"acqua, bevande, alcolici | liquori",02.1.9.0
smirnoff apple twist 70cl,beverages | spirits,02.1.9.0
mayor provista sugu 1.125 ltr,tins cans & packets,01.1.9.3
le naturelle bio organic eggs,organic products,01.1.4.8
cameo ciobar dark chocolate 023 grms,hot chocolate & malted drinks,01.2.4.0
health&heather organic imperial matcha green tea 40 grms,tea,01.2.3.0
bellfield lawless village ipa cans,beer,02.1.3.0
renato ratti barbera d'alba doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1
marsovin antonin red & blanc twin pack 75ml,wine,02.1.2.1
leffe rituel 9 birra chiara,"acqua, bevande, alcolici | birra",02.1.3.0
starbucks doubleshot espresso 200ml,drinks | smoothies & juice drinks | chilled smoothies & ice coffee,01.2.2.0
amaroy express kaffee gold 100 g,kaffee,01.2.2.0
yellow tail cabernet sauvignon,wine,02.1.2.1
carrefour infusion after meal tea 20 pots,tea,01.2.3.0
carrefour specialty olive riviera whole 350 grms,tins cans & packets,01.1.7.9
"coca cola zero 1,05 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
3 leaves corned beef light 198g,tins cans & packets,01.1.2.5
ducato sannita greco di tufo doc 75cl,drinks | wine | white wine,02.1.2.1
branca menta mint liquer,alcohol,02.1.1.0
lion tea x40 + caddy tin,beverages | coffee & tea,01.2.3.0
glassa classica all'aceto balsamico di modena igp,"conserve | olio, aceto e sale",01.1.9.3
b&g bordeaux  2017 75cl,drinks | wine | red wine,02.1.2.1
aberfeldy single highland malt scotch whisky,alcohol,02.1.1.0
safari apple juice 250ml,juices & smoothies,01.2.1.0
grand fermage unsalted french butter 200 grms,"milk, butter & eggs",01.1.5.2
sterilgarda juice  pear juice,juices,01.2.1.0
qualita rossa espresso intensita 10,"caffè, tea e zucchero | caffè e solubili",01.2.2.0
principato merlot delle venezie,wine,02.1.2.1
powerade mountain blast 500 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0
cisk lager 25cl,beverages | beer & cider,02.1.3.0
excellence mussles in brine 200 grms,tins cans & packets,01.1.9.1
coolee orange squash 1.5ltr,soft drinks,01.2.6.0
san valentino red 3ltr,drinks | wine | red wine,02.1.2.1
chateau la tuilerie du puy,wine,02.1.2.1
destination hot choc powder 46%,organic products,01.1.8.5
capri-sonne orange and peach juice 330ml,juices & smoothies,01.2.1.0
milsani kaffeesahne 200 g,milchprodukte,01.1.4.3
grand badon la garelle emilion 750ml,wine,02.1.2.1
zuegg skipper succo di ribes nero 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0
alexis lichine chevalier sauvignon blanc,wine,02.1.2.1
bosca sparkletini strawberry,wine,02.1.2.1
mcguigan black label chardonnay 75cl,drinks | wine | white wine,02.1.2.1
monster lewis hamilton 50cl,beverages | soft drinks & mixers,01.2.9.0
lipton lemon 1.5ltr,drinks | ice tea | ice tea,01.2.3.0
twix hot choc dolce gusto pods x8 136gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.4.0
pepsi cola 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
rocchetta brioblu larossa sparkling 1.5ltr single,drinks | water | water - sparkling,01.2.5.0
twining's orange mango & cinnamon infuso 040 grms,tea,01.2.3.0
citra trebbiano d'abbruzzo,wine,02.1.2.1
strongbow dark fruit,cider,02.1.2.2
sanpellegrino chino zero zuccheri aggiunti 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
solive franciacorta rose docg 750ml 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1
nestle vera still water,water,01.2.5.0
hydration blue raspberry,"acqua, bibite e succhi | bibite",01.2.6.0
mayor tomato pulp 35c off 3x400g,tins cans & packets,01.1.9.3
tisana a freddo sgonfiante digestiva fragola limone zenzero 18 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0
acqua minerale effervescente naturale,"acqua, bibite e succhi | acqua minerale",01.2.5.0
kopke 10 years old porto,wine,02.1.2.1
starbucks white mocha x12cap,beverages | coffee & tea,01.2.4.0
twining infuse fragola/anguria/limone 10 filtri,infusi,01.2.3.0
pera dolce di natura,"acqua, bibite e succhi | succhi",01.2.1.0
amaroy kaffee-pads 144 g,kaffee,01.2.2.0
sani sifon acqua soda,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
six saints caribbean rum,alcohol,02.1.1.0
belvedere grignolino piemonte doc,"acqua, bevande, alcolici | vini",02.1.2.1
nouaison gin 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0
"bad durrheimer naturliches mineralwasser 0,75 l",wasser,01.2.5.0
dreher redler birra e succo di limone 990 ml,"acqua, bevande, alcolici | birra",02.1.3.0
johnny walker red label whisky 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0
raineri olio extra vergine di oliva 500 ml,olio e conserve | olio,01.1.5.1
lipton yellow label tea deteinato squeezable 38 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0
expressi typ filter kaffee mild 120g,kaffee,01.2.2.0
"everton te solubile limone,lime e curcuma 560 gr","acqua, bevande, alcolici | bevande analcoliche",01.2.3.0
elite marrowfat peas 300g,tins cans & packets,01.1.7.9
barton & guestier malbec 750ml,wine,02.1.2.1
gran caffe  garibaldi nespresso tube top bar  10 pcs.,coffee,01.2.2.0
jack link`s beef jerky teriyaki 075 grms,tins cans & packets,01.1.2.5
vinum merum bellamar gutturnio classico superiore doc,"acqua, bevande, alcolici | vini",02.1.2.1
typhoo qt one cup 125gr,food cupboard groceries | tea | decaf & all classic teas,01.2.3.0
solvay bicarbonato di sodio purissimo 750 gr,"acqua, bevande, alcolici | bevande analcoliche",01.1.9.9
fuzetea tea lemon 400 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.3.0
martini royale rosato 75cl,wine cellar | wine  ,02.1.2.1
dolo corned beef 200g,groceries | canned items,01.1.2.5
barbera frizzante piemonte doc,"vini, birra e liquori | vini",02.1.2.1
"chiarli lambrusco amabile di modena dop 1,5 lt","acqua, bevande, alcolici | vini",02.1.2.1
rauch bravo arancia rossa (red orange) 2ltr,drinks | smoothies & juice drinks | long life juice,01.2.1.0
coccodi italian barn eggs medium 6x350g,"milk, butter & eggs",01.1.4.8
kinnie / diet 500ml x12,beverages | soft drinks & mixers,01.2.6.0
bakoma sonata coffee cappuccino,cold coffee,01.1.4.7
twinings selezione di pregiati te 80 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0
jack daniels whisky,"acqua, bevande, alcolici | liquori",02.1.1.0
snapple snappy apple 473ml,drinks | smoothies & juice drinks | chilled smoothies & ice coffee,01.2.1.0
espresso intenso 9/13,"caffè, tea e zucchero | caffè e solubili",01.2.2.0
lurisia sparkling water glass,water,01.2.5.0
"clarke's bourbon whiskey 0,7 l",spirituosen,02.1.1.0
bolero mango sugar free instant drink 009 grms,soft drinks,01.2.9.0
lachryma vitis white 75cl carton,wine cellar | wine  ,02.1.2.1
bio3 camomile tea  25 pcs.,tea,01.2.3.0
"rio d'oro mehrfruchtdirektsaft 1 l, ananas, orange & mango",saft & nektar,01.2.1.0
sacla organic basil pesto,organic products,01.1.9.3
albicocca varieta italiane,"acqua, bibite e succhi | succhi",01.2.1.0
santa babera cabernet saivignon,wine,02.1.2.1
ty-phoo gold tea  80 pcs.,tea,01.2.3.0
chateau roquefort bordeaux sauvignon,wine,02.1.2.1
casillero del diablo carmenere,wine,02.1.2.1
milsani kondensmilch 10 % fett 340 g,milchprodukte,01.1.4.2
perrier peach & cherry sparkling drink,water,01.2.9.0
la festa hot chocolate milky 250g,beverages | coffee & tea,01.2.4.0
carrefour bio penne rigate intergrali,organic products,01.1.1.5
poppenburger bockwurst sausages 750 grms,tins cans & packets,01.1.2.5
torrevigne - taurasi  x,wine,02.1.2.1
mutti bio passata  560 grms,tins cans & packets,01.1.9.3
estathe pesca 20cl,drinks | ice tea | ice tea,01.2.3.0
gran lomo malbec,wine,02.1.2.1
stone go to ipa,beer,02.1.3.0
enervit bottle orange 500ml,drinks | sports drinks | sports drinks,01.2.6.0
amaro importante 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0
valfrutta fine tomato pulp 2x 330 grms,tins cans & packets,01.1.9.3
san benedetto still,water,01.2.5.0
primia te' deteinato 30 gr,"zucchero, caffe', te', infusi | te' e infusi",01.2.3.0
gibson's london dry gin 1 lt,"acqua, bevande, alcolici | liquori",02.1.1.0
corte al passo primitivo puglia 2022,wine,02.1.2.1
twinings green tea & mint x25,beverages | coffee & tea,01.2.3.0
feudi 125 primitivo del salento 750 ml,wine,02.1.2.1
biona organic dijon mustard,organic products,01.1.6.9
levissima natural water,water,01.2.5.0
innocent orange juice bits 1.35l,drinks | smoothies & juice drinks | chilled fresh fruit juice,01.2.1.0
maresi vienna ice coffee caramel,cold coffee,01.2.2.0
go and fun isotonic 500ml,drinks | energy drinks | energy drinks,01.2.9.0
valdo prosecco valdobbiadene docg 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1
jack daniel's jack & coke gift pack with glass,alcohol,02.1.1.0
italian style roast,"caffè, tea e zucchero | caffè e solubili",01.2.2.0
"rocchetta verde acqua naturale 1,5 lt","acqua, bevande, alcolici | acqua",02.1.9.0
kean grapefruit 100% juice,juices,01.2.1.0
physalis infusion tea fat burner 27g,tea,01.2.3.0
lacto milk stout bottle 25cl,drinks | beers & ciders | bitters & stouts,01.1.4.7
levissima fizzy water 1.5l,water,01.2.5.0
biona organic cocobella spread,organic products,01.1.8.5
leone de castris five roses rosato igt salento,"acqua, bevande, alcolici | vini",02.1.2.1
panna da cucina uht,"latticini | latte, uova e burro",01.1.4.3
pfanner bio blueberry juice 500 ml,juices & smoothies,01.2.1.0
rio d'oro orangensaft 1 l,saft & nektar,01.2.1.0
rosemount meal matcher shiraz - steak,wine,02.1.2.1
"spesa leggera gassosa 1,5 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
pinot de pinot brut,"vini, birra e liquori | spumanti e champagne",02.1.2.1
bellone igp lazio,"vini, birra e liquori | vini",02.1.2.1
talisker aged 10 years single malt scotch whisky 700 ml,spirits,02.1.1.0
vigneti galassi albana di romagna sweet wine,wine,02.1.2.1
medina vermentino zibibbo 75cl,wine cellar | wine  ,02.1.2.1
voda collagen focus 375ml,drinks | energy drinks | energy drinks,01.2.9.0
nescafe gold oat macchiato 6x16g,beverages | coffee & tea,01.1.4.7
la polenza cinque terre doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1
sanpellegrino aranciata,juices,01.2.6.0
red cup crema,"caffè, tea e zucchero | caffè e solubili",01.2.2.0
"warsteiner pils 0,5l",bier,02.1.3.0
innocent fp plus blue 750ml,chilled and dairy | fridge items,01.2.6.0
mirinda 1.5 ltr single,drinks | soft drinks | soft drinks,01.2.6.0
natur green naturgreen biocoffee,organic products,01.2.2.0
pepsi cans,soft drinks,01.2.6.0
just light orzata squash 1 ltr,soft drinks,01.2.6.0
tetley super fruits tea immune peach & orange EUR1 off 20pcs.,tea,01.2.3.0
chupa chups melon cream soda 345ml,beverages | soft drinks & mixers,01.2.6.0
vina mestizo - merlot  x,wine,02.1.2.1
westminster eistee premium 1 l,"cola, limonaden, eistee",01.2.3.0
benna milk 2.5% fat 1ltr,"milk, butter & eggs",01.1.4.1
zwan 8 chicken hotdogs 720 grms,tins cans & packets,01.1.2.5
sangre de toro rose 75cl,drinks | wine | rose wine,02.1.2.1
carrefour kids kaomix chocolate milk powder,hot drinks,01.1.4.7
jameson 70cl,drinks | spirits & liqueurs | whisky,02.1.1.0
anfossi vermentino riviera ligure ponente doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1
alamos malbec mendoza,wine,02.1.2.1
beefeater pink gin,alcohol,02.1.1.0
southern comfort 70cl,beverages | spirits,02.1.1.0
kopparberg premium cider alcohol free pear,cider,02.1.2.2
nescafe cappuccino x8,beverages | coffee & tea,01.1.4.7
palatino limited twin pack wine,wine,02.1.2.1
caravaggio merlot,wine,02.1.2.1
martini spritz bianco 75cl,drinks | wine | champagne & sparkling wine,02.1.2.1
rauch bravo red orange juice,juices,01.2.1.0
"rio d'oro fruchtsaft 2 l, apfel-kirsch",saft & nektar,01.2.1.0
summer edition gusto dragon fruit,"acqua, bibite e succhi | bibite",01.2.9.0
"karlskrone premium pilsener, 6er-packung 3 l",bier,02.1.3.0
meridiana melqart red wine 750 ml,wine,02.1.2.1
feudo principi  principi di butera merlot sicilia,wine,02.1.2.1
schooner black label rum,alcohol,02.1.1.0
almond cocoa creamy dessert,organic products,01.1.4.7
naturalboom mental drink fiori di sambuco e limone 250 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0
monster ultra fiesta,energy drinks,01.2.9.0
vitasnella still water 1.5ltr 6pack,drinks | water | water packs,01.2.5.0
san miguel especial beer,beer,02.1.3.0
san miguel manila,beer,02.1.3.0
sk special peach nectar juice,juices,01.2.1.0
nature crops  fagiolo tondino dell umbria 300 g,tins cans & packets,01.1.7.9
chef crema di latte 250 ml,"latte, yogurt, burro, uova | latticini e burro",01.1.4.3
pfanner pineapple juice 100% 1ltr,drinks | smoothies & juice drinks | long life juice,01.2.1.0
italvini le uve bardolino,wine,02.1.2.1
pfanner succo ananas carota 30% 2tr,drinks | smoothies & juice drinks | long life juice,01.2.1.0
ensinger sport mineralwasser 3 l,wasser,01.2.5.0
nescafe dolce gusto latte macchiato  x  16pcs.,coffee,01.1.4.7
soyavit bio tofu herbal,organic products,01.1.7.9
pfanner guava 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0
optimus mascarpone 500 gr,"latte, yogurt, burro, uova | latticini e burro",01.1.4.5
barbadillo cream sherry  75cl,drinks | wine | red wine,02.1.2.1
latte crescita mio senza lattosio,mondo baby | latte e tisane,01.1.9.2
fruity hugo pear 75cl,drinks | wine | white wine,02.1.2.1
carrefour bio spremuta arance,juices,01.2.1.0
bottega sambuca d'anice stellato 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0
7up free,soft drinks,01.2.6.0
moet & chandon nectar imperial rose,wine,02.1.2.1
absolut vodka eoy,alcohol,02.1.1.0
958 spritz,"vini, birra e liquori | liquori",02.1.2.1
carrefour  bio plums without stone,organic products,01.1.6.9
victoria heights merlot 75cl,wine cellar | wine  ,02.1.2.1
carrefour bio apricot juice,organic drinks,01.2.1.0
rauch bravo red grape juice,juices,01.2.1.0
ferdinand's quince gin,alcohol,02.1.1.0
ribolla gialla friuli doc,"vini, birra e liquori | vini",02.1.2.1
ecomil eco mil almond milk,organic products,01.1.4.4
