name,code,count,confidence,category,manual_code,encoder,correct
notte rossa primitivo rosato igp,02.1.2.1,6,1.0,"acqua, bevande, alcolici | vini",02.1.2.1,intfloat/e5-mistral-7b-instruct,True
kean orange juice 250 ml,01.2.1.0,6,1.0,juices & smoothies,01.2.1.0,intfloat/e5-mistral-7b-instruct,True
kinnie bottle,01.2.6.0,6,1.0,soft drinks,01.2.6.0,intfloat/e5-mistral-7b-instruct,True
prosecco millesimato doc,02.1.2.1,6,1.0,"vini, birra e liquori | spumanti e champagne",02.1.2.1,intfloat/e5-mistral-7b-instruct,True
milsani joghurt 500 g,01.1.4.6,6,1.0,milchprodukte,01.1.4.6,intfloat/e5-mistral-7b-instruct,True
erin thick chicken soup 64 g,01.1.9.1,4,0.6666666666666666,tins cans & packets,01.1.9.1,intfloat/e5-mistral-7b-instruct,True
santagostino rosso firriato 75cl,02.1.2.1,6,1.0,drinks | wine | red wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
nescafe gold chocolate caramel hazelnut latte x8sac,01.2.2.0,4,0.6666666666666666,food cupboard groceries | coffee | coffee sachets & pods,01.1.4.7,intfloat/e5-mistral-7b-instruct,False
lavazza a modo mio qualita oro,01.2.2.0,6,1.0,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,intfloat/e5-mistral-7b-instruct,True
malteser's hot chocolate  powder,01.2.4.0,4,0.6666666666666666,hot drinks,01.2.4.0,intfloat/e5-mistral-7b-instruct,True
mevante montefalco sagrantino 75ml,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
monkey dry gin,02.1.1.0,4,0.6666666666666666,"acqua, bevande, alcolici | liquori",02.1.1.0,intfloat/e5-mistral-7b-instruct,True
succo e polpa di pera,01.1.6.5,2,0.3333333333333333,"acqua, bibite e succhi | succhi",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
asahi birra chiara 500 ml,01.2.5.0,6,1.0,"acqua, bevande, alcolici | birra",02.1.3.0,intfloat/e5-mistral-7b-instruct,False
torres celeste,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
alte valli appennine burro 125 gr,01.1.4.1,6,1.0,"latte, yogurt, burro, uova | latticini e burro",01.1.5.2,intfloat/e5-mistral-7b-instruct,False
bravo arancia senza zuccheri aggiunti 1 lt,01.2.6.0,6,1.0,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
tisana caffe amaretto & vaniglia 15 filtri,01.2.3.0,4,0.6666666666666666,"caffè, tea e zucchero | tea e infusi",01.2.3.0,intfloat/e5-mistral-7b-instruct,True
syrah igp,02.1.2.1,6,1.0,"vini, birra e liquori | vini",02.1.2.1,intfloat/e5-mistral-7b-instruct,True
carrefour lentils eston 400g,01.1.7.6,6,1.0,tins cans & packets,01.1.7.9,intfloat/e5-mistral-7b-instruct,False
sanpellegrino cocktail zero 330 ml,01.2.5.0,6,1.0,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,intfloat/e5-mistral-7b-instruct,False
tropicana orange smooth,01.2.1.0,4,0.6666666666666666,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,True
burro gran moravia 250g,01.1.5.3,6,1.0,burro & margarina,01.1.5.2,intfloat/e5-mistral-7b-instruct,False
evian natural mineral water 750 ml,01.2.5.0,6,1.0,bottled water,01.2.5.0,intfloat/e5-mistral-7b-instruct,True
alska strawberry & lime fruit cider,02.1.2.2,4,0.6666666666666666,cider,02.1.2.2,intfloat/e5-mistral-7b-instruct,True
coppini olive oil 250ml,01.1.5.1,6,1.0,groceries | oil & vinegar,01.1.5.1,intfloat/e5-mistral-7b-instruct,True
delicata lachryma vitis red tetrapak 75cl,01.1.6.5,6,1.0,drinks | wine | red wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,False
"smoochie kiwi, pineapple",01.1.6.5,6,1.0,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,False
bolero instant drink peach,01.2.1.0,2,0.3333333333333333,drinks | squashes | fruit & milk squashes,01.2.9.0,intfloat/e5-mistral-7b-instruct,False
bordon corned beef low fat 340 grms,01.1.9.9,4,0.6666666666666666,tins cans & packets,01.1.2.5,intfloat/e5-mistral-7b-instruct,False
baron philippe de rothschild sauvignon blanc,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
famous grouse smoky black,02.1.1.0,6,1.0,alcohol,02.1.1.0,intfloat/e5-mistral-7b-instruct,True
carrefour aqua monviso frizzante,01.2.5.0,6,1.0,water,01.2.5.0,intfloat/e5-mistral-7b-instruct,True
santal dolce di natura multifrutti,01.2.6.0,4,0.6666666666666666,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
bertani amarone valoantena,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
latte accadi' senza lattosio,01.1.4.2,6,1.0,"latticini | latte, uova e burro",01.1.4.1,intfloat/e5-mistral-7b-instruct,False
"primia the con infuso di pesca 1,5 lt",01.2.5.0,6,1.0,"acqua, bevande, alcolici | bevande analcoliche",01.2.3.0,intfloat/e5-mistral-7b-instruct,False
calvo tuna steak in sunflower oil with chilli 3+1 free 080 grms,01.1.3.3,6,1.0,tins cans & packets,01.1.9.1,intfloat/e5-mistral-7b-instruct,False
bonduelle red kidney beans 400g,01.1.7.9,6,1.0,tins cans & packets,01.1.7.9,intfloat/e5-mistral-7b-instruct,True
duca di vigliano grappa moscato affinato 500 ml,01.2.5.0,4,0.6666666666666666,"acqua, bevande, alcolici | liquori",02.1.1.0,intfloat/e5-mistral-7b-instruct,False
latte accadi' uht senza lattosio,01.1.4.2,4,0.6666666666666666,"latticini | latte, uova e burro",01.1.4.1,intfloat/e5-mistral-7b-instruct,False
cisk excel lager beer 6 x 330ml,02.1.9.0,6,1.0,beverages | beer & cider,02.1.3.0,intfloat/e5-mistral-7b-instruct,False
carrefour preparato per cioccolata,01.2.4.0,4,0.6666666666666666,hot drinks,01.1.8.5,intfloat/e5-mistral-7b-instruct,False
kumala chenin blanc 2017 750 ml,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
folonari chardonnay,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
bavaria non-alcoholic beer can,02.1.3.0,6,1.0,beer,02.1.3.0,intfloat/e5-mistral-7b-instruct,True
koppaberg cherry cider 50cl,02.1.2.2,4,0.6666666666666666,drinks | beers & ciders | cider,02.1.2.2,intfloat/e5-mistral-7b-instruct,True
lurpak spread salted 56c off,01.1.5.3,6,1.0,spreads,01.1.5.2,intfloat/e5-mistral-7b-instruct,False
moo mini white,01.1.4.4,4,0.6666666666666666,organic products,01.1.8.5,intfloat/e5-mistral-7b-instruct,False
"holunderblutenlikor 0,5 l",02.1.1.0,6,1.0,spirituosen,02.1.1.0,intfloat/e5-mistral-7b-instruct,True
zuegg arancia rossa senza zuccheri aggiunti 1 lt,01.2.6.0,6,1.0,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
london dry gin,02.1.1.0,6,1.0,"vini, birra e liquori | liquori",02.1.1.0,intfloat/e5-mistral-7b-instruct,True
borges extra light olive oil 750ml,01.1.5.1,6,1.0,groceries | oil & vinegar,01.1.5.1,intfloat/e5-mistral-7b-instruct,True
elan sparkling water 1.5l x6,01.2.5.0,6,1.0,beverages | bottled water,01.2.5.0,intfloat/e5-mistral-7b-instruct,True
succo arancia,01.2.6.0,4,0.6666666666666666,"acqua, bibite e succhi | succhi",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
"milsani h-milch 1,5 % fett 1 l",01.1.4.2,6,1.0,milchprodukte,01.1.4.3,intfloat/e5-mistral-7b-instruct,False
tails gin gimlet cocktail 500 ml,01.1.9.3,2,0.3333333333333333,"acqua, bevande, alcolici | liquori",02.1.9.0,intfloat/e5-mistral-7b-instruct,False
coca cola zero can,01.2.6.0,6,1.0,soft drinks,01.2.6.0,intfloat/e5-mistral-7b-instruct,True
master gioia + burro,01.1.4.5,6,1.0,spreads,01.1.5.2,intfloat/e5-mistral-7b-instruct,False
ktc pure sesame seed oil 250ml,01.1.5.1,4,0.6666666666666666,food cupboard groceries | cooking ingredients | oil & vinegar,01.1.5.1,intfloat/e5-mistral-7b-instruct,True
carapelli il nobile olio extra vergine di oliva 1 lt,01.1.5.1,6,1.0,olio e conserve | olio,01.1.5.1,intfloat/e5-mistral-7b-instruct,True
three barrels brandy 70cl,02.2.0.0,4,0.6666666666666666,beverages | spirits,02.1.1.0,intfloat/e5-mistral-7b-instruct,False
"apice aperitivo italiano 0,7 l",02.1.1.0,4,0.6666666666666666,spirituosen,02.1.9.0,intfloat/e5-mistral-7b-instruct,False
odyssey rose 75cl,02.1.2.1,6,1.0,wine cellar | wine  ,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
bottega chardonnay venezie igt 2017 75cl,02.1.2.1,6,1.0,drinks | wine | white wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
mayor tomato salsa pronta 200 grms,01.1.9.9,6,1.0,tins cans & packets,01.1.9.3,intfloat/e5-mistral-7b-instruct,False
magners irish cider original,02.1.2.2,6,1.0,cider,02.1.2.2,intfloat/e5-mistral-7b-instruct,True
"lurisia aranciata 1,1 lt",01.2.6.0,6,1.0,"acqua, bevande, alcolici | bevande analcoliche",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
pukka organic turmeric tea 20pcs.,01.2.3.0,6,1.0,tea,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
lurpak spreadable unsalted 56c off,01.1.5.3,6,1.0,spreads,01.1.5.2,intfloat/e5-mistral-7b-instruct,False
allara genova l'amaro della superba 700 ml,01.2.5.0,4,0.6666666666666666,"acqua, bevande, alcolici | liquori",02.1.1.0,intfloat/e5-mistral-7b-instruct,False
sainsbury's nas ginger beer 2ltr,01.2.6.0,6,1.0,drinks | beers & ciders | beers & lagers,02.1.3.0,intfloat/e5-mistral-7b-instruct,False
nocino 700 ml,02.1.1.0,6,1.0,"acqua, bevande, alcolici | liquori",02.1.1.0,intfloat/e5-mistral-7b-instruct,True
vitago apple drink,01.2.1.0,4,0.6666666666666666,juices,01.2.1.0,intfloat/e5-mistral-7b-instruct,True
medina grenache cabernet rose,02.1.2.1,4,0.6666666666666666,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
"akropolis griechischer weinbrand 0,7 l",02.1.1.0,6,1.0,spirituosen,02.1.1.0,intfloat/e5-mistral-7b-instruct,True
teekanne bio sleep & dream x20,01.2.3.0,6,1.0,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0,intfloat/e5-mistral-7b-instruct,True
borbone miniciock comp a modo mio 16 cap,01.1.9.2,6,1.0,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,intfloat/e5-mistral-7b-instruct,False
"sanpellegrino aranciata 1,25 lt",01.2.5.0,4,0.6666666666666666,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,intfloat/e5-mistral-7b-instruct,False
"primia cortado caffe macchiato 100,8 gr",01.2.2.0,4,0.6666666666666666,"zucchero, caffe', te', infusi | caffe'",01.1.4.7,intfloat/e5-mistral-7b-instruct,False
evian mineral water glass bottle,01.2.5.0,6,1.0,water,01.2.5.0,intfloat/e5-mistral-7b-instruct,True
ma ne noir  premium pinot noir,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
costasera amarone classico docg,02.1.2.1,6,1.0,"vini, birra e liquori | vini",02.1.2.1,intfloat/e5-mistral-7b-instruct,True
don simon selection white wine 3ltrs,02.2.0.0,4,0.6666666666666666,wine cellar | wine  ,02.1.2.1,intfloat/e5-mistral-7b-instruct,False
amaroy express kaffee gold 100g,01.2.2.0,6,1.0,kaffee,01.2.2.0,intfloat/e5-mistral-7b-instruct,True
carrefour artichokes whole in olive oil 210 grms,01.1.7.1,6,1.0,tins cans & packets,01.1.7.9,intfloat/e5-mistral-7b-instruct,False
belte peach ice tea 500ml,01.2.3.0,6,1.0,beverages | juices & ice-teas,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
gran sud syrah 1ltr,02.1.2.1,6,1.0,wine,02.1.2.1,intfloat/e5-mistral-7b-instruct,True
"vodka wiborowa premium quality 37,5deg 70cl",02.1.1.0,6,1.0,gin & vodka,02.1.1.0,intfloat/e5-mistral-7b-instruct,True
valfrutta frullato proteico mango pesca mandorla 1 lt,01.1.4.4,4,0.6666666666666666,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,intfloat/e5-mistral-7b-instruct,False
crodino aperitivo analcolico 1 lt,01.2.5.0,4,0.6666666666666666,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,intfloat/e5-mistral-7b-instruct,False
birra intense red,02.1.1.0,4,0.6666666666666666,"vini, birra e liquori | birra",02.1.2.1,intfloat/e5-mistral-7b-instruct,False
bourgogne chardonnay la foret,02.1.2.1,6,1.0,"vini, birra e liquori | vini",02.1.2.1,intfloat/e5-mistral-7b-instruct,True
spark cola diet,01.2.6.0,6,1.0,soft drinks,01.2.6.0,intfloat/e5-mistral-7b-instruct,True
mutti baby roma tomatoes 400 grms,01.1.9.2,4,0.6666666666666666,tins cans & packets,01.1.9.3,intfloat/e5-mistral-7b-instruct,False
tetley the blend collection extra strong teabags 75 pcs.,01.2.3.0,6,1.0,tea,01.2.3.0,intfloat/e5-mistral-7b-instruct,True
morellino di scansano docg,02.1.2.1,6,1.0,"vini, birra e liquori | vini",02.1.2.1,intfloat/e5-mistral-7b-instruct,True
le coq blue lagoon taste 330 ml,01.2.5.0,4,0.6666666666666666,"acqua, bevande, alcolici | liquori",02.1.9.0,intfloat/e5-mistral-7b-instruct,False
smirnoff apple twist 70cl,01.2.6.0,4,0.6666666666666666,beverages | spirits,02.1.9.0,intfloat/e5-mistral-7b-instruct,False
mayor provista sugu 1.125 ltr,01.1.4.4,4,0.6666666666666666,tins cans & packets,01.1.9.3,intfloat/e5-mistral-7b-instruct,False
