name,category,manual_code,correct_option,correct_n,llm,prediction,match
quilmes argentina's beer,"acqua, bevande, alcolici | birra",02.1.3.0,True,1,mistral:latest,02.1.3.0,True
miguel torres reserva santa digna cabernet sauvignon,wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
flora buttery EUR1.99c,spreads,01.1.5.2,True,3,mistral:latest,01.1.5.2,True
jagermeister matured in oak 700ml,spirits,02.1.1.0,True,3,mistral:latest,02.1.1.0,True
lipton balance green tea bags 25 pcs.,tea,01.2.3.0,True,11,mistral:latest,01.2.3.0,True
daura estrella birra chiara per celiaci,"acqua, bevande, alcolici | birra",02.1.3.0,True,10,mistral:latest,02.1.3.0,True
agros juice apple juice,juices,01.2.1.0,True,9,mistral:latest,01.2.1.0,True
lavazza caffe qualita oro 750 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,6,mistral:latest,01.2.2.0,True
clipper organic english breakfast tea 20 pcs.,tea,01.2.3.0,True,12,mistral:latest,01.2.3.0,True
desira joghurt crisp 175g,milchprodukte,01.1.4.6,True,10,mistral:latest,01.1.4.6,True
energy activator tropical trip,"acqua, bibite e succhi | bibite",01.2.9.0,True,7,mistral:latest,01.2.9.0,True
yoga multivitamin juice,juices,01.2.1.0,True,5,mistral:latest,01.2.1.0,True
lome super fruit succo di melagrana 200 ml,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,3,mistral:latest,01.2.1.0,True
sprite twin pack,soft drinks,01.2.6.0,True,9,mistral:latest,01.2.6.0,True
staustell brewery proper job cornish ipa beer 500 ml,beer & cider,02.1.3.0,True,12,mistral:latest,02.1.3.0,True
coldpress smoothie pineapple coconut & banana,juices,01.2.1.0,True,3,mistral:latest,01.2.1.0,True
greco di tufo white wine,wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
yogi organic detox energy teabags 12 pcs.,tea,01.2.3.0,True,11,mistral:latest,01.2.3.0,True
dolce gusto caffe ginseng,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,True,1,mistral:latest,01.2.2.0,True
san benedetto dall the''  pesca 250 ml,soft drinks,01.2.3.0,False,0,mistral:latest,01.2.6.0,False
il baluardo lambrusco grasparossa di castelvetro doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,True,10,mistral:latest,02.1.2.1,True
thatchers gold cider bottle,cider,02.1.2.2,True,9,mistral:latest,02.1.2.2,True
perrier 20cl gls x 6 pk,drinks | water | water - sparkling ,01.2.5.0,True,9,mistral:latest,01.2.5.0,True
19 crimes cabernet sauvignon 75cl,drinks | wine | red wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
tagua chardonnay  x,wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
carrefour selection te verde nilgiri 15 p,tea,01.2.3.0,True,12,mistral:latest,01.2.3.0,True
ovaltine original light,hot drinks,01.2.9.0,False,0,mistral:latest,01.1.4.7,False
white edition,"acqua, bibite e succhi | bibite",01.2.6.0,True,3,mistral:latest,01.2.6.0,True
somerdale salted butter 200gr,"fresh | dairy, eggs & cheese | butter, margarine & spreads",01.1.5.2,True,6,mistral:latest,01.1.5.2,True
heineken silver beer can,beer,02.1.3.0,True,10,mistral:latest,02.1.3.0,True
lavazza perfetto esp 250g,beverages | coffee & tea,01.2.2.0,True,10,mistral:latest,01.2.2.0,True
schweppes tonica 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,5,mistral:latest,01.2.6.0,True
kristal frutaqua lemon,water,01.2.6.0,True,3,mistral:latest,01.2.5.0,False
il montu' grappa di bonarda oltrepo pavese,"acqua, bevande, alcolici | liquori",02.1.1.0,True,4,mistral:latest,02.1.1.0,True
bolero instant drink pear,drinks | squashes | fruit & milk squashes,01.2.9.0,True,2,mistral:latest,01.2.1.0,False
vital nature avena e cocco senza zuccheri aggiunti bio,"acqua, bibite e succhi | bevande vegetali",01.2.1.0,False,0,mistral:latest,01.1.4.4,False
feudi di san gregorio fiano d'avellino doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,True,4,mistral:latest,02.1.2.1,True
jimmy iced coffee caramel,cold coffee,01.2.2.0,True,6,mistral:latest,01.2.2.0,True
lavazza caffe crema e gusto 500 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,6,mistral:latest,01.2.2.0,True
sensi chianti docg in fiasco,"acqua, bevande, alcolici | vini",02.1.2.1,True,6,mistral:latest,02.1.2.1,True
nescafe ispirazione italiana espresso roma 112 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,8,mistral:latest,01.2.2.0,True
jolly pear juice x6 x125ml,drinks | smoothies & juice drinks | long life juice,01.2.1.0,True,5,mistral:latest,01.2.1.0,True
"milsani bergbauern-joghurt 0,45 kg, vanille",milchprodukte,01.1.4.6,True,10,mistral:latest,01.1.4.6,True
mont valentino 2021 merlot,wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
san paolo red 75cl,drinks | wine | red wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
gavi del comune di gavi granee,wine,02.1.2.1,True,9,mistral:latest,02.1.2.1,True
j.p. chenet medium sweet moelleux red,wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
innocent plus green wonder green  750 ml,chilled fruit juice & smoothie,01.2.1.0,True,3,mistral:latest,01.2.1.0,True
heath & heather green tea with manuka 40 grms,tea,01.2.3.0,True,12,mistral:latest,01.2.3.0,True
exeter corned beef 30c off 340g,tins cans & packets,01.1.2.5,True,2,mistral:latest,01.1.2.5,True
"lowenbrau munchen munchner hell 0,5 l",bier,02.1.3.0,True,11,mistral:latest,02.1.3.0,True
dolce gusto ristretto barista 16 cap 120gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,True,8,mistral:latest,01.2.2.0,True
peroni nastro azzurro 33cl,drinks | beers & ciders | beers & lagers,02.1.3.0,True,7,mistral:latest,02.1.3.0,True
grignolino d'asti doc,"vini, birra e liquori | vini",02.1.2.1,True,8,mistral:latest,02.1.2.1,True
coldpress valencia orange,juices,01.2.1.0,True,2,mistral:latest,01.1.6.2,False
vodka keglevich ginepro 70cl 30deg,gin & vodka,02.1.1.0,True,4,mistral:latest,02.1.1.0,True
sodastream pepsi max syrup,soft drinks,01.2.6.0,True,6,mistral:latest,01.2.6.0,True
coca cola can 330ml,drinks | soft drinks | soft drinks,01.2.6.0,True,10,mistral:latest,01.2.6.0,True
duca di camastra syrah 75cl,drinks | wine | red wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
strongbow rose 50cl,drinks | beers & ciders | cider,02.1.2.2,True,7,mistral:latest,02.1.2.2,True
ribena blackcurrant 600ml,beverages | juices & ice-teas,01.2.9.0,False,0,mistral:latest,01.2.1.0,False
notte rossa primitivo rosato igp,"acqua, bevande, alcolici | vini",02.1.2.1,True,12,mistral:latest,02.1.2.1,True
kean orange juice 250 ml,juices & smoothies,01.2.1.0,True,6,mistral:latest,01.2.1.0,True
kinnie bottle,soft drinks,01.2.6.0,True,11,mistral:latest,01.2.6.0,True
prosecco millesimato doc,"vini, birra e liquori | spumanti e champagne",02.1.2.1,True,9,mistral:latest,02.1.2.1,True
milsani joghurt 500 g,milchprodukte,01.1.4.6,True,9,mistral:latest,01.1.4.6,True
erin thick chicken soup 64 g,tins cans & packets,01.1.9.1,True,3,mistral:latest,01.1.9.1,True
santagostino rosso firriato 75cl,drinks | wine | red wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
nescafe gold chocolate caramel hazelnut latte x8sac,food cupboard groceries | coffee | coffee sachets & pods,01.1.4.7,True,2,mistral:latest,01.2.2.0,False
lavazza a modo mio qualita oro,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,5,mistral:latest,01.2.2.0,True
malteser's hot chocolate  powder,hot drinks,01.2.4.0,True,10,mistral:latest,01.2.4.0,True
mevante montefalco sagrantino 75ml,wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
monkey dry gin,"acqua, bevande, alcolici | liquori",02.1.1.0,True,1,mistral:latest,02.1.1.0,True
succo e polpa di pera,"acqua, bibite e succhi | succhi",01.2.1.0,True,5,mistral:latest,01.2.1.0,True
asahi birra chiara 500 ml,"acqua, bevande, alcolici | birra",02.1.3.0,True,3,mistral:latest,02.1.3.0,True
torres celeste,wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
alte valli appennine burro 125 gr,"latte, yogurt, burro, uova | latticini e burro",01.1.5.2,True,2,mistral:latest,01.1.4.5,False
bravo arancia senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,1,mistral:latest,01.2.1.0,True
tisana caffe amaretto & vaniglia 15 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,True,8,mistral:latest,01.2.3.0,True
syrah igp,"vini, birra e liquori | vini",02.1.2.1,True,11,mistral:latest,02.1.2.1,True
carrefour lentils eston 400g,tins cans & packets,01.1.7.9,True,2,mistral:latest,01.1.7.6,False
sanpellegrino cocktail zero 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,3,mistral:latest,01.2.6.0,True
tropicana orange smooth,juices,01.2.1.0,True,5,mistral:latest,01.2.1.0,True
burro gran moravia 250g,burro & margarina,01.1.5.2,False,0,mistral:latest,01.1.5.3,False
evian natural mineral water 750 ml,bottled water,01.2.5.0,True,12,mistral:latest,01.2.5.0,True
alska strawberry & lime fruit cider,cider,02.1.2.2,True,8,mistral:latest,01.1.6.4,False
coppini olive oil 250ml,groceries | oil & vinegar,01.1.5.1,True,11,mistral:latest,01.1.5.1,True
delicata lachryma vitis red tetrapak 75cl,drinks | wine | red wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
"smoochie kiwi, pineapple",juices,01.2.1.0,True,7,mistral:latest,01.2.1.0,True
bolero instant drink peach,drinks | squashes | fruit & milk squashes,01.2.9.0,True,1,mistral:latest,01.2.1.0,False
bordon corned beef low fat 340 grms,tins cans & packets,01.1.2.5,True,2,mistral:latest,01.1.2.5,True
baron philippe de rothschild sauvignon blanc,wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
famous grouse smoky black,alcohol,02.1.1.0,True,1,mistral:latest,02.1.1.0,True
carrefour aqua monviso frizzante,water,01.2.5.0,True,12,mistral:latest,01.2.5.0,True
santal dolce di natura multifrutti,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,1,mistral:latest,01.2.1.0,True
bertani amarone valoantena,wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
latte accadi' senza lattosio,"latticini | latte, uova e burro",01.1.4.1,True,1,mistral:latest,01.1.4.6,False
"primia the con infuso di pesca 1,5 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.3.0,True,7,mistral:latest,01.2.1.0,False
calvo tuna steak in sunflower oil with chilli 3+1 free 080 grms,tins cans & packets,01.1.9.1,False,0,mistral:latest,01.1.3.3,False
bonduelle red kidney beans 400g,tins cans & packets,01.1.7.9,True,3,mistral:latest,01.1.7.6,False
duca di vigliano grappa moscato affinato 500 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,5,mistral:latest,02.1.1.0,True
latte accadi' uht senza lattosio,"latticini | latte, uova e burro",01.1.4.1,True,1,mistral:latest,01.1.4.3,False
cisk excel lager beer 6 x 330ml,beverages | beer & cider,02.1.3.0,True,10,mistral:latest,02.1.3.0,True
carrefour preparato per cioccolata,hot drinks,01.1.8.5,False,0,mistral:latest,01.2.4.0,False
kumala chenin blanc 2017 750 ml,wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
folonari chardonnay,wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
bavaria non-alcoholic beer can,beer,02.1.3.0,True,8,mistral:latest,02.1.3.0,True
koppaberg cherry cider 50cl,drinks | beers & ciders | cider,02.1.2.2,True,7,mistral:latest,02.1.2.2,True
lurpak spread salted 56c off,spreads,01.1.5.2,True,3,mistral:latest,01.1.5.3,False
moo mini white,organic products,01.1.8.5,False,0,mistral:latest,01.1.4.2,False
"holunderblutenlikor 0,5 l",spirituosen,02.1.1.0,True,5,mistral:latest,02.1.1.0,True
zuegg arancia rossa senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,3,mistral:latest,01.2.1.0,True
london dry gin,"vini, birra e liquori | liquori",02.1.1.0,True,4,mistral:latest,02.1.1.0,True
borges extra light olive oil 750ml,groceries | oil & vinegar,01.1.5.1,True,12,mistral:latest,01.1.5.1,True
elan sparkling water 1.5l x6,beverages | bottled water,01.2.5.0,True,10,mistral:latest,01.2.6.0,False
succo arancia,"acqua, bibite e succhi | succhi",01.2.1.0,True,4,mistral:latest,01.2.1.0,True
"milsani h-milch 1,5 % fett 1 l",milchprodukte,01.1.4.3,True,3,mistral:latest,01.1.4.2,False
tails gin gimlet cocktail 500 ml,"acqua, bevande, alcolici | liquori",02.1.9.0,True,5,mistral:latest,02.1.1.0,False
coca cola zero can,soft drinks,01.2.6.0,True,10,mistral:latest,01.2.6.0,True
master gioia + burro,spreads,01.1.5.2,False,0,mistral:latest,01.1.4.7,False
ktc pure sesame seed oil 250ml,food cupboard groceries | cooking ingredients | oil & vinegar,01.1.5.1,True,8,mistral:latest,01.1.9.4,False
carapelli il nobile olio extra vergine di oliva 1 lt,olio e conserve | olio,01.1.5.1,True,8,mistral:latest,01.1.5.1,True
three barrels brandy 70cl,beverages | spirits,02.1.1.0,True,5,mistral:latest,02.1.1.0,True
"apice aperitivo italiano 0,7 l",spirituosen,02.1.9.0,False,0,mistral:latest,02.1.1.0,False
odyssey rose 75cl,wine cellar | wine  ,02.1.2.1,True,5,mistral:latest,02.1.2.1,True
bottega chardonnay venezie igt 2017 75cl,drinks | wine | white wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
mayor tomato salsa pronta 200 grms,tins cans & packets,01.1.9.3,False,0,mistral:latest,01.1.9.1,False
magners irish cider original,cider,02.1.2.2,True,8,mistral:latest,02.1.2.2,True
"lurisia aranciata 1,1 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.1.0,False,0,mistral:latest,01.2.6.0,False
pukka organic turmeric tea 20pcs.,tea,01.2.3.0,True,6,mistral:latest,01.2.3.0,True
lurpak spreadable unsalted 56c off,spreads,01.1.5.2,True,2,mistral:latest,01.1.5.2,True
allara genova l'amaro della superba 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,3,mistral:latest,02.1.1.0,True
sainsbury's nas ginger beer 2ltr,drinks | beers & ciders | beers & lagers,02.1.3.0,True,4,mistral:latest,02.1.3.0,True
nocino 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,4,mistral:latest,02.1.1.0,True
vitago apple drink,juices,01.2.1.0,True,4,mistral:latest,01.2.1.0,True
medina grenache cabernet rose,wine,02.1.2.1,True,9,mistral:latest,02.1.2.1,True
"akropolis griechischer weinbrand 0,7 l",spirituosen,02.1.1.0,True,9,mistral:latest,02.1.1.0,True
teekanne bio sleep & dream x20,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0,True,10,mistral:latest,01.2.3.0,True
borbone miniciock comp a modo mio 16 cap,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,True,10,mistral:latest,01.2.2.0,True
"sanpellegrino aranciata 1,25 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,4,mistral:latest,01.2.6.0,True
"primia cortado caffe macchiato 100,8 gr","zucchero, caffe', te', infusi | caffe'",01.1.4.7,True,4,mistral:latest,01.2.2.0,False
evian mineral water glass bottle,water,01.2.5.0,True,12,mistral:latest,01.2.5.0,True
ma ne noir  premium pinot noir,wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
costasera amarone classico docg,"vini, birra e liquori | vini",02.1.2.1,True,8,mistral:latest,02.1.2.1,True
don simon selection white wine 3ltrs,wine cellar | wine  ,02.1.2.1,True,9,mistral:latest,02.1.2.1,True
amaroy express kaffee gold 100g,kaffee,01.2.2.0,True,11,mistral:latest,01.2.2.0,True
carrefour artichokes whole in olive oil 210 grms,tins cans & packets,01.1.7.9,True,3,mistral:latest,01.1.7.9,True
belte peach ice tea 500ml,beverages | juices & ice-teas,01.2.3.0,True,9,mistral:latest,01.2.9.0,False
gran sud syrah 1ltr,wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
"vodka wiborowa premium quality 37,5deg 70cl",gin & vodka,02.1.1.0,True,4,mistral:latest,02.1.1.0,True
valfrutta frullato proteico mango pesca mandorla 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,4,mistral:latest,01.2.1.0,True
crodino aperitivo analcolico 1 lt,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,2,mistral:latest,02.1.2.1,False
birra intense red,"vini, birra e liquori | birra",02.1.2.1,True,1,mistral:latest,02.1.3.0,False
bourgogne chardonnay la foret,"vini, birra e liquori | vini",02.1.2.1,True,11,mistral:latest,02.1.2.1,True
spark cola diet,soft drinks,01.2.6.0,True,8,mistral:latest,01.2.6.0,True
mutti baby roma tomatoes 400 grms,tins cans & packets,01.1.9.3,False,0,mistral:latest,01.1.7.9,False
tetley the blend collection extra strong teabags 75 pcs.,tea,01.2.3.0,True,12,mistral:latest,01.2.3.0,True
morellino di scansano docg,"vini, birra e liquori | vini",02.1.2.1,True,10,mistral:latest,02.1.2.1,True
le coq blue lagoon taste 330 ml,"acqua, bevande, alcolici | liquori",02.1.9.0,True,6,mistral:latest,02.1.1.0,False
smirnoff apple twist 70cl,beverages | spirits,02.1.9.0,True,3,mistral:latest,02.1.9.0,True
mayor provista sugu 1.125 ltr,tins cans & packets,01.1.9.3,False,0,mistral:latest,01.1.1.2,False
le naturelle bio organic eggs,organic products,01.1.4.8,True,9,mistral:latest,01.1.4.8,True
cameo ciobar dark chocolate 023 grms,hot chocolate & malted drinks,01.2.4.0,True,7,mistral:latest,01.2.4.0,True
health&heather organic imperial matcha green tea 40 grms,tea,01.2.3.0,True,11,mistral:latest,01.2.3.0,True
bellfield lawless village ipa cans,beer,02.1.3.0,True,10,mistral:latest,02.1.3.0,True
renato ratti barbera d'alba doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,True,8,mistral:latest,02.1.2.1,True
marsovin antonin red & blanc twin pack 75ml,wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
leffe rituel 9 birra chiara,"acqua, bevande, alcolici | birra",02.1.3.0,True,10,mistral:latest,02.1.3.0,True
starbucks doubleshot espresso 200ml,drinks | smoothies & juice drinks | chilled smoothies & ice coffee,01.2.2.0,True,5,mistral:latest,01.1.4.7,False
amaroy express kaffee gold 100 g,kaffee,01.2.2.0,True,11,mistral:latest,01.2.2.0,True
yellow tail cabernet sauvignon,wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
carrefour infusion after meal tea 20 pots,tea,01.2.3.0,True,10,mistral:latest,01.2.3.0,True
carrefour specialty olive riviera whole 350 grms,tins cans & packets,01.1.7.9,True,8,mistral:latest,01.1.5.1,False
"coca cola zero 1,05 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,6,mistral:latest,01.2.6.0,True
3 leaves corned beef light 198g,tins cans & packets,01.1.2.5,True,3,mistral:latest,01.1.2.5,True
ducato sannita greco di tufo doc 75cl,drinks | wine | white wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
branca menta mint liquer,alcohol,02.1.1.0,True,5,mistral:latest,02.1.1.0,True
lion tea x40 + caddy tin,beverages | coffee & tea,01.2.3.0,True,11,mistral:latest,01.2.3.0,True
glassa classica all'aceto balsamico di modena igp,"conserve | olio, aceto e sale",01.1.9.3,True,2,mistral:latest,01.1.9.3,True
b&g bordeaux  2017 75cl,drinks | wine | red wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
aberfeldy single highland malt scotch whisky,alcohol,02.1.1.0,True,3,mistral:latest,02.1.1.0,True
safari apple juice 250ml,juices & smoothies,01.2.1.0,True,5,mistral:latest,01.2.1.0,True
grand fermage unsalted french butter 200 grms,"milk, butter & eggs",01.1.5.2,True,9,mistral:latest,01.1.5.2,True
sterilgarda juice  pear juice,juices,01.2.1.0,True,7,mistral:latest,01.2.1.0,True
qualita rossa espresso intensita 10,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,True,9,mistral:latest,01.2.2.0,True
principato merlot delle venezie,wine,02.1.2.1,True,9,mistral:latest,02.1.2.1,True
powerade mountain blast 500 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0,True,2,mistral:latest,01.2.6.0,False
cisk lager 25cl,beverages | beer & cider,02.1.3.0,True,11,mistral:latest,02.1.3.0,True
excellence mussles in brine 200 grms,tins cans & packets,01.1.9.1,False,0,mistral:latest,01.1.3.5,False
coolee orange squash 1.5ltr,soft drinks,01.2.6.0,True,8,mistral:latest,01.2.6.0,True
san valentino red 3ltr,drinks | wine | red wine,02.1.2.1,True,9,mistral:latest,02.1.2.1,True
chateau la tuilerie du puy,wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
destination hot choc powder 46%,organic products,01.1.8.5,True,6,mistral:latest,01.2.4.0,False
capri-sonne orange and peach juice 330ml,juices & smoothies,01.2.1.0,True,9,mistral:latest,01.2.1.0,True
milsani kaffeesahne 200 g,milchprodukte,01.1.4.3,True,9,mistral:latest,01.1.4.3,True
grand badon la garelle emilion 750ml,wine,02.1.2.1,True,10,mistral:latest,02.1.2.1,True
zuegg skipper succo di ribes nero 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,6,mistral:latest,01.2.1.0,True
alexis lichine chevalier sauvignon blanc,wine,02.1.2.1,True,12,mistral:latest,02.1.2.1,True
bosca sparkletini strawberry,wine,02.1.2.1,True,6,mistral:latest,02.1.2.2,False
mcguigan black label chardonnay 75cl,drinks | wine | white wine,02.1.2.1,True,11,mistral:latest,02.1.2.1,True
monster lewis hamilton 50cl,beverages | soft drinks & mixers,01.2.9.0,True,1,mistral:latest,01.2.6.0,False
lipton lemon 1.5ltr,drinks | ice tea | ice tea,01.2.3.0,True,10,mistral:latest,01.2.3.0,True
twix hot choc dolce gusto pods x8 136gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.4.0,True,4,mistral:latest,01.2.2.0,False
pepsi cola 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,7,mistral:latest,01.2.6.0,True
rocchetta brioblu larossa sparkling 1.5ltr single,drinks | water | water - sparkling,01.2.5.0,True,7,mistral:latest,01.2.5.0,True
twining's orange mango & cinnamon infuso 040 grms,tea,01.2.3.0,True,11,mistral:latest,01.2.3.0,True
citra trebbiano d'abbruzzo,wine,02.1.2.1,True,9,mistral:latest,02.1.2.1,True
strongbow dark fruit,cider,02.1.2.2,True,10,mistral:latest,02.1.2.2,True
sanpellegrino chino zero zuccheri aggiunti 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,4,mistral:latest,01.2.5.0,False
solive franciacorta rose docg 750ml 750 ml,"acqua, bevande, alcolici | spumanti e champagne",02.1.2.1,True,5,mistral:latest,02.1.2.1,True
nestle vera still water,water,01.2.5.0,True,12,mistral:latest,01.2.5.0,True
hydration blue raspberry,"acqua, bibite e succhi | bibite",01.2.6.0,True,2,mistral:latest,01.2.6.0,True
mayor tomato pulp 35c off 3x400g,tins cans & packets,01.1.9.3,False,0,mistral:latest,01.1.7.9,False
tisana a freddo sgonfiante digestiva fragola limone zenzero 18 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,True,11,mistral:latest,01.2.3.0,True
acqua minerale effervescente naturale,"acqua, bibite e succhi | acqua minerale",01.2.5.0,True,10,mistral:latest,01.2.5.0,True
kopke 10 years old porto,wine,02.1.2.1,True,5,mistral:latest,02.1.2.2,False
