original_index,name,category,manual_code,correct_option,correct_n,llm,prediction,match
65,heineken silver beer can,beer,02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
66,lavazza perfetto esp 250g,beverages | coffee & tea,01.2.2.0,True,10,qwen2.5:32b,01.2.2.0,True
67,schweppes tonica 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,5,qwen2.5:32b,01.2.6.0,True
68,kristal frutaqua lemon,water,01.2.6.0,True,3,qwen2.5:32b,01.2.5.0,False
69,il montu' grappa di bonarda oltrepo pavese,"acqua, bevande, alcolici | liquori",02.1.1.0,True,4,qwen2.5:32b,02.1.2.1,False
70,bolero instant drink pear,drinks | squashes | fruit & milk squashes,01.2.9.0,True,2,qwen2.5:32b,01.2.9.0,True
71,vital nature avena e cocco senza zuccheri aggiunti bio,"acqua, bibite e succhi | bevande vegetali",01.2.1.0,False,0,qwen2.5:32b,01.2.9.0,False
72,feudi di san gregorio fiano d'avellino doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,True,4,qwen2.5:32b,02.1.2.1,True
73,jimmy iced coffee caramel,cold coffee,01.2.2.0,True,6,qwen2.5:32b,01.1.8.6,False
74,lavazza caffe crema e gusto 500 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,6,qwen2.5:32b,01.2.2.0,True
75,sensi chianti docg in fiasco,"acqua, bevande, alcolici | vini",02.1.2.1,True,6,qwen2.5:32b,02.1.2.1,True
76,nescafe ispirazione italiana espresso roma 112 gr,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,8,qwen2.5:32b,01.2.2.0,True
77,jolly pear juice x6 x125ml,drinks | smoothies & juice drinks | long life juice,01.2.1.0,True,5,qwen2.5:32b,01.2.1.0,True
78,"milsani bergbauern-joghurt 0,45 kg, vanille",milchprodukte,01.1.4.6,True,10,qwen2.5:32b,01.1.4.7,False
79,mont valentino 2021 merlot,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
80,san paolo red 75cl,drinks | wine | red wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
81,gavi del comune di gavi granee,wine,02.1.2.1,True,9,qwen2.5:32b,02.1.2.2,False
82,j.p. chenet medium sweet moelleux red,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
83,innocent plus green wonder green  750 ml,chilled fruit juice & smoothie,01.2.1.0,True,3,qwen2.5:32b,01.2.9.0,False
84,heath & heather green tea with manuka 40 grms,tea,01.2.3.0,True,12,qwen2.5:32b,01.2.3.0,True
85,exeter corned beef 30c off 340g,tins cans & packets,01.1.2.5,True,2,qwen2.5:32b,01.1.2.2,False
86,"lowenbrau munchen munchner hell 0,5 l",bier,02.1.3.0,True,11,qwen2.5:32b,02.1.3.0,True
87,dolce gusto ristretto barista 16 cap 120gr,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,True,8,qwen2.5:32b,01.2.2.0,True
88,peroni nastro azzurro 33cl,drinks | beers & ciders | beers & lagers,02.1.3.0,True,7,qwen2.5:32b,02.1.3.0,True
89,grignolino d'asti doc,"vini, birra e liquori | vini",02.1.2.1,True,8,qwen2.5:32b,02.1.2.1,True
90,coldpress valencia orange,juices,01.2.1.0,True,2,qwen2.5:32b,01.2.1.0,True
91,vodka keglevich ginepro 70cl 30deg,gin & vodka,02.1.1.0,True,4,qwen2.5:32b,02.2.0.0,False
92,sodastream pepsi max syrup,soft drinks,01.2.6.0,True,6,qwen2.5:32b,01.2.9.0,False
93,coca cola can 330ml,drinks | soft drinks | soft drinks,01.2.6.0,True,10,qwen2.5:32b,01.2.6.0,True
94,duca di camastra syrah 75cl,drinks | wine | red wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
95,strongbow rose 50cl,drinks | beers & ciders | cider,02.1.2.2,True,7,qwen2.5:32b,02.1.3.0,False
96,ribena blackcurrant 600ml,beverages | juices & ice-teas,01.2.9.0,False,0,qwen2.5:32b,01.2.9.0,True
97,notte rossa primitivo rosato igp,"acqua, bevande, alcolici | vini",02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
98,kean orange juice 250 ml,juices & smoothies,01.2.1.0,True,6,qwen2.5:32b,01.2.1.0,True
99,kinnie bottle,soft drinks,01.2.6.0,True,11,qwen2.5:32b,01.2.6.0,True
100,prosecco millesimato doc,"vini, birra e liquori | spumanti e champagne",02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
101,milsani joghurt 500 g,milchprodukte,01.1.4.6,True,9,qwen2.5:32b,01.1.4.7,False
102,erin thick chicken soup 64 g,tins cans & packets,01.1.9.1,True,3,qwen2.5:32b,01.1.9.9,False
103,santagostino rosso firriato 75cl,drinks | wine | red wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
104,nescafe gold chocolate caramel hazelnut latte x8sac,food cupboard groceries | coffee | coffee sachets & pods,01.1.4.7,True,2,qwen2.5:32b,01.2.2.0,False
105,lavazza a modo mio qualita oro,"zucchero, caffe', te', infusi | caffe'",01.2.2.0,True,5,qwen2.5:32b,01.2.2.0,True
106,malteser's hot chocolate  powder,hot drinks,01.2.4.0,True,10,qwen2.5:32b,01.1.9.9,False
107,mevante montefalco sagrantino 75ml,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
108,monkey dry gin,"acqua, bevande, alcolici | liquori",02.1.1.0,True,1,qwen2.5:32b,02.2.0.0,False
109,succo e polpa di pera,"acqua, bibite e succhi | succhi",01.2.1.0,True,5,qwen2.5:32b,01.2.1.0,True
110,asahi birra chiara 500 ml,"acqua, bevande, alcolici | birra",02.1.3.0,True,3,qwen2.5:32b,02.1.3.0,True
111,torres celeste,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
112,alte valli appennine burro 125 gr,"latte, yogurt, burro, uova | latticini e burro",01.1.5.2,True,2,qwen2.5:32b,01.1.4.9,False
113,bravo arancia senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,1,qwen2.5:32b,01.2.9.0,False
114,tisana caffe amaretto & vaniglia 15 filtri,"caffè, tea e zucchero | tea e infusi",01.2.3.0,True,8,qwen2.5:32b,01.2.3.0,True
115,syrah igp,"vini, birra e liquori | vini",02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
116,carrefour lentils eston 400g,tins cans & packets,01.1.7.9,True,2,qwen2.5:32b,15.2.2.0,False
117,sanpellegrino cocktail zero 330 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,3,qwen2.5:32b,01.2.6.0,True
118,tropicana orange smooth,juices,01.2.1.0,True,5,qwen2.5:32b,01.2.9.0,False
119,burro gran moravia 250g,burro & margarina,01.1.5.2,False,0,qwen2.5:32b,01.1.5.2,True
120,evian natural mineral water 750 ml,bottled water,01.2.5.0,True,12,qwen2.5:32b,01.2.5.0,True
121,alska strawberry & lime fruit cider,cider,02.1.2.2,True,8,qwen2.5:32b,11.2.0.2,False
122,coppini olive oil 250ml,groceries | oil & vinegar,01.1.5.1,True,11,qwen2.5:32b,01.1.9.9,False
123,delicata lachryma vitis red tetrapak 75cl,drinks | wine | red wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
124,"smoochie kiwi, pineapple",juices,01.2.1.0,True,7,qwen2.5:32b,01.2.9.0,False
125,bolero instant drink peach,drinks | squashes | fruit & milk squashes,01.2.9.0,True,1,qwen2.5:32b,01.2.9.0,True
126,bordon corned beef low fat 340 grms,tins cans & packets,01.1.2.5,True,2,qwen2.5:32b,01.1.2.2,False
127,baron philippe de rothschild sauvignon blanc,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
128,famous grouse smoky black,alcohol,02.1.1.0,True,1,qwen2.5:32b,02.2.0.0,False
129,carrefour aqua monviso frizzante,water,01.2.5.0,True,12,qwen2.5:32b,01.2.5.0,True
130,santal dolce di natura multifrutti,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,1,qwen2.5:32b,01.2.9.0,False
131,bertani amarone valoantena,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
132,latte accadi' senza lattosio,"latticini | latte, uova e burro",01.1.4.1,True,1,qwen2.5:32b,01.1.4.7,False
133,"primia the con infuso di pesca 1,5 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.3.0,True,7,qwen2.5:32b,01.2.9.0,False
134,calvo tuna steak in sunflower oil with chilli 3+1 free 080 grms,tins cans & packets,01.1.9.1,False,0,qwen2.5:32b,01.2.9.0,False
135,bonduelle red kidney beans 400g,tins cans & packets,01.1.7.9,True,3,qwen2.5:32b,01.1.7.7,False
136,duca di vigliano grappa moscato affinato 500 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,5,qwen2.5:32b,01.1.7.3,False
137,latte accadi' uht senza lattosio,"latticini | latte, uova e burro",01.1.4.1,True,1,qwen2.5:32b,01.1.4.7,False
138,cisk excel lager beer 6 x 330ml,beverages | beer & cider,02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
139,carrefour preparato per cioccolata,hot drinks,01.1.8.5,False,0,qwen2.5:32b,01.1.9.9,False
140,kumala chenin blanc 2017 750 ml,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
141,folonari chardonnay,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
142,bavaria non-alcoholic beer can,beer,02.1.3.0,True,8,qwen2.5:32b,01.2.9.0,False
143,koppaberg cherry cider 50cl,drinks | beers & ciders | cider,02.1.2.2,True,7,qwen2.5:32b,02.1.2.2,True
144,lurpak spread salted 56c off,spreads,01.1.5.2,True,3,qwen2.5:32b,01.1.9.9,False
145,moo mini white,organic products,01.1.8.5,False,0,qwen2.5:32b,09.2.1.2,False
146,"holunderblutenlikor 0,5 l",spirituosen,02.1.1.0,True,5,qwen2.5:32b,01.1.8.3,False
147,zuegg arancia rossa senza zuccheri aggiunti 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,3,qwen2.5:32b,01.2.9.0,False
148,london dry gin,"vini, birra e liquori | liquori",02.1.1.0,True,4,qwen2.5:32b,02.1.1.0,True
149,borges extra light olive oil 750ml,groceries | oil & vinegar,01.1.5.1,True,12,qwen2.5:32b,01.1.9.9,False
150,elan sparkling water 1.5l x6,beverages | bottled water,01.2.5.0,True,10,qwen2.5:32b,01.1.1.3,False
151,succo arancia,"acqua, bibite e succhi | succhi",01.2.1.0,True,4,qwen2.5:32b,01.2.1.0,True
152,"milsani h-milch 1,5 % fett 1 l",milchprodukte,01.1.4.3,True,3,qwen2.5:32b,01.1.4.7,False
153,tails gin gimlet cocktail 500 ml,"acqua, bevande, alcolici | liquori",02.1.9.0,True,5,qwen2.5:32b,02.1.9.0,True
154,coca cola zero can,soft drinks,01.2.6.0,True,10,qwen2.5:32b,01.2.6.0,True
155,master gioia + burro,spreads,01.1.5.2,False,0,qwen2.5:32b,01.1.9.9,False
156,ktc pure sesame seed oil 250ml,food cupboard groceries | cooking ingredients | oil & vinegar,01.1.5.1,True,8,qwen2.5:32b,01.1.5.1,True
157,carapelli il nobile olio extra vergine di oliva 1 lt,olio e conserve | olio,01.1.5.1,True,8,qwen2.5:32b,01.1.9.9,False
158,three barrels brandy 70cl,beverages | spirits,02.1.1.0,True,5,qwen2.5:32b,02.1.1.0,True
159,"apice aperitivo italiano 0,7 l",spirituosen,02.1.9.0,False,0,qwen2.5:32b,02.1.2.2,False
160,odyssey rose 75cl,wine cellar | wine  ,02.1.2.1,True,5,qwen2.5:32b,02.1.2.1,True
161,bottega chardonnay venezie igt 2017 75cl,drinks | wine | white wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
162,mayor tomato salsa pronta 200 grms,tins cans & packets,01.1.9.3,False,0,qwen2.5:32b,01.1.9.9,False
163,magners irish cider original,cider,02.1.2.2,True,8,qwen2.5:32b,15.3.2.0,False
164,"lurisia aranciata 1,1 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.1.0,False,0,qwen2.5:32b,01.2.6.0,False
165,pukka organic turmeric tea 20pcs.,tea,01.2.3.0,True,6,qwen2.5:32b,01.2.3.0,True
166,lurpak spreadable unsalted 56c off,spreads,01.1.5.2,True,2,qwen2.5:32b,01.1.9.9,False
167,allara genova l'amaro della superba 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,3,qwen2.5:32b,04.5.3.0,False
168,sainsbury's nas ginger beer 2ltr,drinks | beers & ciders | beers & lagers,02.1.3.0,True,4,qwen2.5:32b,02.1.3.0,True
169,nocino 700 ml,"acqua, bevande, alcolici | liquori",02.1.1.0,True,4,qwen2.5:32b,02.1.9.0,False
170,vitago apple drink,juices,01.2.1.0,True,4,qwen2.5:32b,01.2.1.0,True
171,medina grenache cabernet rose,wine,02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
172,"akropolis griechischer weinbrand 0,7 l",spirituosen,02.1.1.0,True,9,qwen2.5:32b,02.1.1.0,True
173,teekanne bio sleep & dream x20,"food cupboard groceries | tea | fruit, herbal, oganic tea & camomile",01.2.3.0,True,10,qwen2.5:32b,01.2.3.0,True
174,borbone miniciock comp a modo mio 16 cap,food cupboard groceries | coffee | coffee sachets & pods,01.2.2.0,True,10,qwen2.5:32b,01.2.2.0,True
175,"sanpellegrino aranciata 1,25 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,4,qwen2.5:32b,01.2.6.0,True
176,"primia cortado caffe macchiato 100,8 gr","zucchero, caffe', te', infusi | caffe'",01.1.4.7,True,4,qwen2.5:32b,01.2.2.0,False
177,evian mineral water glass bottle,water,01.2.5.0,True,12,qwen2.5:32b,01.2.5.0,True
178,ma ne noir  premium pinot noir,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
179,costasera amarone classico docg,"vini, birra e liquori | vini",02.1.2.1,True,8,qwen2.5:32b,02.1.2.1,True
180,don simon selection white wine 3ltrs,wine cellar | wine  ,02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
181,amaroy express kaffee gold 100g,kaffee,01.2.2.0,True,11,qwen2.5:32b,01.2.2.0,True
182,carrefour artichokes whole in olive oil 210 grms,tins cans & packets,01.1.7.9,True,3,qwen2.5:32b,01.1.7.4,False
183,belte peach ice tea 500ml,beverages | juices & ice-teas,01.2.3.0,True,9,qwen2.5:32b,01.1.8.6,False
184,gran sud syrah 1ltr,wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
185,"vodka wiborowa premium quality 37,5deg 70cl",gin & vodka,02.1.1.0,True,4,qwen2.5:32b,02.2.0.0,False
186,valfrutta frullato proteico mango pesca mandorla 1 lt,"acqua, bevande, alcolici | succhi di frutta",01.2.1.0,True,4,qwen2.5:32b,01.2.9.0,False
187,crodino aperitivo analcolico 1 lt,"acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,2,qwen2.5:32b,01.2.9.0,False
188,birra intense red,"vini, birra e liquori | birra",02.1.2.1,True,1,qwen2.5:32b,02.1.3.0,False
189,bourgogne chardonnay la foret,"vini, birra e liquori | vini",02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
190,spark cola diet,soft drinks,01.2.6.0,True,8,qwen2.5:32b,01.2.6.0,True
191,mutti baby roma tomatoes 400 grms,tins cans & packets,01.1.9.3,False,0,qwen2.5:32b,01.1.6.9,False
192,tetley the blend collection extra strong teabags 75 pcs.,tea,01.2.3.0,True,12,qwen2.5:32b,01.2.3.0,True
193,morellino di scansano docg,"vini, birra e liquori | vini",02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
194,le coq blue lagoon taste 330 ml,"acqua, bevande, alcolici | liquori",02.1.9.0,True,6,qwen2.5:32b,01.2.9.0,False
195,smirnoff apple twist 70cl,beverages | spirits,02.1.9.0,True,3,qwen2.5:32b,02.1.1.0,False
196,mayor provista sugu 1.125 ltr,tins cans & packets,01.1.9.3,False,0,qwen2.5:32b,01.1.9.9,False
197,le naturelle bio organic eggs,organic products,01.1.4.8,True,9,qwen2.5:32b,01.1.4.8,True
198,cameo ciobar dark chocolate 023 grms,hot chocolate & malted drinks,01.2.4.0,True,7,qwen2.5:32b,01.1.8.5,False
199,health&heather organic imperial matcha green tea 40 grms,tea,01.2.3.0,True,11,qwen2.5:32b,01.2.3.0,True
200,bellfield lawless village ipa cans,beer,02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
201,renato ratti barbera d'alba doc 750 ml,"acqua, bevande, alcolici | vini",02.1.2.1,True,8,qwen2.5:32b,02.1.2.1,True
202,marsovin antonin red & blanc twin pack 75ml,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
203,leffe rituel 9 birra chiara,"acqua, bevande, alcolici | birra",02.1.3.0,True,10,qwen2.5:32b,02.1.3.0,True
204,starbucks doubleshot espresso 200ml,drinks | smoothies & juice drinks | chilled smoothies & ice coffee,01.2.2.0,True,5,qwen2.5:32b,01.1.9.9,False
205,amaroy express kaffee gold 100 g,kaffee,01.2.2.0,True,11,qwen2.5:32b,01.2.2.0,True
206,yellow tail cabernet sauvignon,wine,02.1.2.1,True,12,qwen2.5:32b,02.1.2.1,True
207,carrefour infusion after meal tea 20 pots,tea,01.2.3.0,True,10,qwen2.5:32b,01.2.3.0,True
208,carrefour specialty olive riviera whole 350 grms,tins cans & packets,01.1.7.9,True,8,qwen2.5:32b,01.1.9.9,False
209,"coca cola zero 1,05 lt","acqua, bevande, alcolici | bevande analcoliche",01.2.6.0,True,6,qwen2.5:32b,01.2.9.0,False
210,3 leaves corned beef light 198g,tins cans & packets,01.1.2.5,True,3,qwen2.5:32b,01.1.9.9,False
211,ducato sannita greco di tufo doc 75cl,drinks | wine | white wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
212,branca menta mint liquer,alcohol,02.1.1.0,True,5,qwen2.5:32b,02.1.1.0,True
213,lion tea x40 + caddy tin,beverages | coffee & tea,01.2.3.0,True,11,qwen2.5:32b,01.2.3.0,True
214,glassa classica all'aceto balsamico di modena igp,"conserve | olio, aceto e sale",01.1.9.3,True,2,qwen2.5:32b,01.1.8.3,False
215,b&g bordeaux  2017 75cl,drinks | wine | red wine,02.1.2.1,True,11,qwen2.5:32b,02.1.2.1,True
216,aberfeldy single highland malt scotch whisky,alcohol,02.1.1.0,True,3,qwen2.5:32b,12.1.1.0,False
217,safari apple juice 250ml,juices & smoothies,01.2.1.0,True,5,qwen2.5:32b,01.2.1.0,True
218,grand fermage unsalted french butter 200 grms,"milk, butter & eggs",01.1.5.2,True,9,qwen2.5:32b,01.1.5.2,True
219,sterilgarda juice  pear juice,juices,01.2.1.0,True,7,qwen2.5:32b,01.2.1.0,True
220,qualita rossa espresso intensita 10,"caffè, tea e zucchero | caffè e solubili",01.2.2.0,True,9,qwen2.5:32b,01.2.2.0,True
221,principato merlot delle venezie,wine,02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
222,powerade mountain blast 500 ml,"acqua, bevande, alcolici | bevande analcoliche",01.2.9.0,True,2,qwen2.5:32b,01.2.6.0,False
223,cisk lager 25cl,beverages | beer & cider,02.1.3.0,True,11,qwen2.5:32b,02.1.3.0,True
224,excellence mussles in brine 200 grms,tins cans & packets,01.1.9.1,False,0,qwen2.5:32b,01.1.3.6,False
225,coolee orange squash 1.5ltr,soft drinks,01.2.6.0,True,8,qwen2.5:32b,08.1.5.0,False
226,san valentino red 3ltr,drinks | wine | red wine,02.1.2.1,True,9,qwen2.5:32b,02.1.2.1,True
227,chateau la tuilerie du puy,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
228,destination hot choc powder 46%,organic products,01.1.8.5,True,6,qwen2.5:32b,01.1.9.9,False
229,capri-sonne orange and peach juice 330ml,juices & smoothies,01.2.1.0,True,9,qwen2.5:32b,01.2.1.0,True
230,milsani kaffeesahne 200 g,milchprodukte,01.1.4.3,True,9,qwen2.5:32b,01.1.9.9,False
231,grand badon la garelle emilion 750ml,wine,02.1.2.1,True,10,qwen2.5:32b,02.1.2.1,True
